Glamorgan first innings forfeited and 273-5 ( H. Morris	S-ORG O O O O O O B-PER E-PER
" If you do a lot of something , sometimes it 's good to have a break .	O O O O O O O O O O O O O O O O O O
Men 's singles , second round	O O O O O O
The National Basketball Association has sued America Online Inc , alleging that the United States ' No 1 on-line service is delivering real-time information about league games without its permission , The Wall Street Journal reported on Thursday .	O B-ORG I-ORG E-ORG O O B-ORG I-ORG E-ORG O O O O B-LOC E-LOC O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG E-ORG O O O O
Their release has been negotiated by Islamist writer Ismail Nacar as part of a wider effort , partly backed by Prime Minister Necmettin Erbakan , to find a political solution to Turkey 's Kurdish problem .	O O O O O O S-MISC O B-PER E-PER O O O O O O O O O O O O B-PER E-PER O O O O O O O S-LOC O S-MISC O O
Dealers said the market seemed to be trading a range and would wait for more political polls to provide direction .	O O O O O O O O O O O O O O O O O O O O O
Wasim Akram st Stewart b Croft 40	B-PER E-PER O S-PER O S-PER O
NATIONAL LEAGUE	B-MISC E-MISC
MOSCOW 1996-08-25	S-LOC O
Meanwhile , in Los Angeles , Dole 's running mate , Jack Kemp , campaigned aggressively for the black vote in an area that was the flashpoint of the 1992 Los Angeles riots .	O O O B-LOC E-LOC O S-PER O O O O B-PER E-PER O O O O O O O O O O O O O O O O O B-LOC E-LOC O O
The session 's most active shares were those of Isbank gained 300 lira to 8,600 .	O O O O O O O O O S-ORG O O O O O O
The factions reached a ceasefire on Friday after a week of fierce fighting which had put an end to a truce agreed a year earlier .	O O O O O O O O O O O O O O O O O O O O O O O O O O
1996 5.83 13.8 2.75	O O O O
Political scientist Jannie Gagiano said he doubted that the National Party , which implemented apartheid in 1948 and began dismantling it in 1990 , felt it carried a burden of guilt and needed to be exculpated through the commission .	O O B-PER E-PER O O O O O B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Bomb blast in TELO office in Trincomalee kills one , wounds six .	O O O S-ORG O O S-LOC O O O O O O
Nyva Vinnytsya ( Ukraine ) 1 Tallinna Sadam ( Estonia ) 0 ( 0-0 )	B-ORG E-ORG O S-LOC O O B-ORG E-ORG O S-LOC O O O O O
Wolverhampton 2 2 0 0 4 1 6	S-ORG O O O O O O O
9. Jason Rouser ( U.S. ) 46.11	O B-PER E-PER O S-LOC O O
MILWAUKEE AT CHICAGO	S-ORG O S-LOC
Wing Pieter Hendriks is expected to retain his place , following speculation that Snyman would be picked out of position on the wing .	O B-PER E-PER O O O O O O O O O O S-PER O O O O O O O O O O
Bamerindus , Brazil 's fourth-largest private bank , has been facing liquidity troubles .	S-ORG O S-LOC O O O O O O O O O O O
Piotr Grabowski told Reuters that a Mostostal extraordinary shareholders meeting on Saturday had decided that the price of the 250,000 bonds would be set as a 10-session average price of Mostostal shares plus a premium .	B-PER E-PER O S-ORG O O S-ORG O O O O O O O O O O O O O O O O O O O O O O O S-ORG O O O O O
- Operating profit 46 vs 48	O O O O O O
The PUNR holds four key ministries -- justice , transport , agriculture and communications .	O S-ORG O O O O O O O O O O O O O
Results of Belgian first	O O S-MISC O
Investors gave into gold fever Friday morning , with heavy trading in a handful of Toronto-based gold companies .	O O O O O O O O O O O O O O O S-MISC O O O
" We are stubborn , have strength and time to persist until our demands are met , " said the factory 's trade union secretary Dragutin Stanojlovic .	O O O O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O
FTSE 100 ( SEP ) 3,894.00 3,894.00 3,941.50	B-MISC E-MISC O O O O O O
Russian Svetlana Masterkova broke the women 's world 1,000 metres record on Friday when she clocked an unofficial two minutes 28.99 seconds at the Brussels grand prix .	S-MISC B-PER E-PER O O O O O O O O O O O O O O O O O O O O O S-LOC O O O
News said dramatically lower earnings from the British arm of its Harper-Collins publishing division more than offset healthy results from its U.S. operation .	S-ORG O O O O O O S-MISC O O O S-ORG O O O O O O O O O S-LOC O O
third and final test between England and Pakistan at the Oval on	O O O O O S-LOC O S-LOC O O S-LOC O
With racers carrying about 40 pounds ( 18 kg ) of gear on their backs , broken bones , sunstroke , dehydration and exhaustion are common .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
The BLOM Stock Index which covers both markets rose 0.04 percent to 903.09 and the LISPI index rose 0.02 percent to 81.58 .	O B-MISC I-MISC E-MISC O O O O O O O O O O O S-MISC O O O O O O O
INDICATORS - Spain - updated August 29 .	O O S-LOC O O O O O
TEXAS 74 54 .578 -	S-ORG O O O O
COLOMBO 1996-08-28	S-LOC O
( C )	O O O
Leading prize money	O O O
The United States has 5,000 U.S. air force and other military personnel in Saudi Arabia .	O B-LOC E-LOC O O S-LOC O O O O O O O B-LOC E-LOC O
The 30-share DAX index closed at 2,563.16 points , up 4.32 .	O O S-MISC O O O O O O O O O
LAGOS 1996-08-28	S-LOC O
Brisbane 10.11 ( 71 ) Fremantle 10.10 ( 70 )	S-ORG O O O O S-ORG O O O O
They put forward no proof to support the speculation , but seized on a comment by chief prosecutor Michel Bourlet on Belgian television on Friday night that he would chase down everyone involved in the case " if I am allowed to " .	O O O O O O O O O O O O O O O O O O B-PER E-PER O S-MISC O O O O O O O O O O O O O O O O O O O O O O
10. Cor Euser ( Netherlands ) / H. Wada ( Japan ) / N. Furuya ( Japan ) GT2	O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O S-MISC
Their fate after the territory reverts to Chinese rule is unclear .	O O O O O O O S-MISC O O O O
Iran has asked Germany to extradite its former president Abolhassan Banisadr for alleged hijacking , an Iranian embassy spokesman said on Wednesday .	S-LOC O O S-LOC O O O O O B-PER E-PER O O O O O S-MISC O O O O O O
70 66 67 , Des Smyth ( Ireland ) 66 69 68 , Paul Lawrie	O O O O B-PER E-PER O S-LOC O O O O O B-PER E-PER
Most Spaniards would support government talks with the illegal Basque separatist group ETA if the rebels renounced violence permanently , a survey published in daily El Mundo on Saturday said .	O O O O O O O O O S-MISC O O S-ORG O O O O O O O O O O O O B-ORG E-ORG O O O O
- New orders received 876 vs 933	O O O O O O O
Subpoenas are due to be served on a number of people this week . "	O O O O O O O O O O O O O O O
But he added without elaborating , " hopefully we will see some things come out in this next trial . "	O O O O O O O O O O O O O O O O O O O O O
A lefthander with a strong serve , Nestor kept the rallies short by constantly attacking the net and the tactic worked in the second-round match against Muster , playing his first match after receiving a first-round bye along with the other top eight seeds .	O O O O O O O S-PER O O O O O O O O O O O O O O O O O O S-PER O O O O O O O O O O O O O O O O O O
Huber , who lost to Monica Seles in the Australian Open final , fell victim to an unfortunate draw in bowing to dangerous floater Amanda Coetzer of South Africa .	S-PER O O O O B-PER E-PER O O B-MISC E-MISC O O O O O O O O O O O O O B-PER E-PER O B-LOC E-LOC O
Prime Minister Benjamin Netanyahu 's government , which took office in June , has said it will not allow the Authority , set up under a 1993 interim peace deal to control parts of the Gaza Strip and West Bank , to operate in Jerusalem .	O O B-PER E-PER O O O O O O O O O O O O O O O O S-ORG O O O O O O O O O O O O O O B-LOC E-LOC O B-LOC E-LOC O O O O S-LOC O
Talking about the cement industry in general , Palkhivala said Indian production rose by about 10 percent in 1995/96 .	O O O O O O O O S-PER O S-MISC O O O O O O O O O
In its 1996/97 budget announced on Tuesday , the Australian Coalition government announced an underlying budget deficit of A$ 5.65 billion , and pledged to return the underlying budget balance to surplus by 1998/99 .	O O O O O O O O O S-MISC S-ORG O O O O O O O S-MISC O O O O O O O O O O O O O O O O
Moscow peacemaker Alexander Lebed and rebel chief-of-staff Aslan Maskhadov signed an agreement earlier on Thursday under which the two sides would cease all hostilities at noon ( 0800 GMT ) on Friday .	S-LOC O B-PER E-PER O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O S-MISC O O O O
The letter made reference to massacres of landless peasants in August 1995 and April 1996 , which claimed the lives of 27 landless peasants .	O O O O O O O O O O O O O O O O O O O O O O O O O
-- Sofia Newsroom , ( ++359-2 ) 981 8569	O B-ORG E-ORG O O O O O O
Rain arrived just as the players left the field for lunch , forcing the ground-staff into action yet again .	O O O O O O O O O O O O O O O O O O O O
Attendance 54,178 .	O O O
-- " Based on our simulated production , income and cash flow models , common shares of Royal Oak are at a significant discount to the industry averages , " EVEREN said .	O O O O O O O O O O O O O O O O O B-ORG E-ORG O O O O O O O O O O O S-ORG O O
JAKARTA 1996-08-28	S-LOC O
SALANG TUNNEL , Afghanistan 1996-08-29	S-LOC O O S-LOC O
Le Havre 4 0 2 2 2 4 2	B-ORG E-ORG O O O O O O O
Younis 4-95 )	S-PER O O
MORAV.CHEMIC. ZAV .	B-ORG E-ORG O
Talbott to meet Russian , Canadian counterparts .	S-PER O O S-MISC O S-MISC O O
But he said a power struggle in Russia 's ruling circles could not be ruled out , which could harm further reforms .	O O O O O O O S-LOC O O O O O O O O O O O O O O O
Illness from viral meningitis lasts around a week .	O O O O O O O O O
" The Russian side confirmed that the ceasefire is in place and they will keep to it , " Erdmann told Reuters after speaking by telephone to Ischinger , who had met the officials on a two-day visit to Moscow .	O O S-MISC O O O O O O O O O O O O O O O O S-PER O S-ORG O O O O O S-PER O O O O O O O O O O O S-LOC O
9. Maurizio Fondriest ( Italy )	O B-PER E-PER O S-LOC O
ROTTERDAM 1996-08-26	S-LOC O
The bank said there were concerns fiscal consolidation would unduly restrict growth , but evidence was ambiguous .	O O O O O O O O O O O O O O O O O O
TEXAS 75 58 .564 -	S-ORG O O O O
New Delhi 's stance , which was seen as effectively thwarting 2-1/2 years of negotiations at the Conference on Disarmament , drew widespread but generally muted foreign criticism .	B-LOC E-LOC O O O O O O O O O O O O O O O B-MISC I-MISC E-MISC O O O O O O O O O
Washington 's win was not comfortable , either .	S-PER O O O O O O O O
Wasim Akram 128 29 350 11 31.81	B-PER E-PER O O O O O
Karlsruhe 4 St Pauli 0	S-ORG O B-ORG E-ORG O
Atletico Madrid 3 ( Juan Lopez 28th minute , Juan Esnaider 58th , Milinko Pantic 75th ) Barcelona 1 ( Hristo Stoichkov 55th ) .	B-ORG E-ORG O O B-PER E-PER O O O B-PER E-PER O O B-PER E-PER O O S-ORG O O B-PER E-PER O O O
Parramatta 14 Sydney Tigers 26	S-ORG O B-ORG E-ORG O
Helena Sukova ( Czech Republic ) beat Paola Suarez ( Argentina ) 6- 4 7-6 ( 7-2 )	B-PER E-PER O B-LOC E-LOC O O B-PER E-PER O S-LOC O O O O O O O
BRISBANE 1996-08-28	S-ORG O
RESEARCH ALERT - Royal Oak initiated .	O O O B-ORG E-ORG O O
Bernd Karbacher ( Germany ) beat Jonathan Stark ( U.S. ) 7-5 6-3 5- 7 7-5	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O O
5. Juergen Schult ( Germany ) 63.48	O B-PER E-PER O S-LOC O O
The big-screen version of the spy TV series has grossed $ 175 million domestically since opening May 22 , and $ 338 million overseas so far .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
Williams ' hometown was not immediately available .	S-PER O O O O O O O
Neagle ( 14-6 ) beat the Braves for the third time this season , allowing two runs and six hits in eight innings .	S-PER O O O O O S-ORG O O O O O O O O O O O O O O O O O
Millns , who toured Australia with England A in 1992/93 , replaces former England all-rounder Phillip DeFreitas as Boland 's overseas professional .	S-MISC O O O S-LOC O S-LOC O O O O O O S-LOC O B-PER E-PER O S-ORG O O O O
South African company results expected next week include the	B-MISC E-MISC O O O O O O O
( CZK ) ( CZK ) ( shares ) ( CZK 000 's )	O O O O O O O O O O O O O O
MIAMI 1996-08-29	S-LOC O
Group 1	O O
Cambridge 3 1 2 0 3 2 5	S-ORG O O O O O O O
MONTREAL 71 60 .542 11	S-ORG O O O O
Ferenc Horvath ( 15th )	B-PER E-PER O O O
-- Hong Kong News Room ( 852 ) 2843 6368	O B-ORG I-ORG I-ORG E-ORG O O O O O
following ( all figures cents per share ) :	O O O O O O O O O
It was a bush that bagged the bad guys .	O O O O O O O O O O
The two also agreed to set up joint patrols in Grozny , but Goncharova said she was sceptical about whether this could work .	O O O O O O O O O O S-LOC O O S-PER O O O O O O O O O O
U.S. marine biologists have trained a pair of sea lions to tag and photograph elusive whales as they cruise through the Pacific depths , New Scientist magazine reported on Thursday .	S-LOC O O O O O O O O O O O O O O O O O O O O S-LOC O O B-ORG E-ORG O O O O O
-- Sydney Newsroom 61-2 9373-1800	O B-ORG E-ORG O O
10. Rubens Barrichello ( Brazil ) Jordan 1:55.645	O B-PER E-PER O S-LOC O S-ORG O
Pohang 1 1 1 8 8 4	S-ORG O O O O O O
goals for , goals against , points ) .	O O O O O O O O O
1 - Arantxa Sanchez Vicario ( Spain ) beat 3 - Jana Novotna ( Czech Republic ) 1-6 , 6-2 6-3	O O B-PER I-PER E-PER O S-LOC O O O O B-PER E-PER O B-LOC E-LOC O O O O O
Anderlecht 4 1 3 0 9 3 6	S-ORG O O O O O O O
German Chancellor Helmut Kohl , who spoke to President Boris Yeltsin by telephone on Wednesday , plans a trip to Moscow on September 7 and will visit Yeltsin at his vacation home near Moscow , Interfax news agency said .	S-MISC O B-PER E-PER O O O O O B-PER E-PER O O O O O O O O O S-LOC O O O O O O S-PER O O O O O S-LOC O S-ORG O O O O
CHICAGO 64 64 .500 4	S-ORG O O O O
Lance Gibbs ( West Indies ) 309 , 79	B-PER E-PER O B-LOC E-LOC O O O O
And the farming sector , making the painful transition from Soviet central planning to a market economy simply has no money .	O O O O O O O O O O S-MISC O O O O O O O O O O O
first division after the weekend 's matches :	O O O O O O O O
Belgian Grand Prix motor race :	S-MISC B-MISC E-MISC O O O
---------------------	O
Police said a number of crew members had left the aircraft and said details would be given at a news conference expected to be held in the next few minutes by the local police chief .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Attendance : 5,000	O O O
They also demand the financial separation of the 350 air controllers from the technical staff .	O O O O O O O O O O O O O O O O
But fierce fighting still raged at 1600 GMT , Interfax said .	O O O O O O O S-MISC O S-ORG O O
Tsang , who made the remarks during a visit to New Zealand , also spoke strongly in favour of keeping the Hong Kong dollar pegged to its U.S. counterpart , and said negotiations with China on next year 's budget were going smoothly .	S-PER O O O O O O O O O B-LOC E-LOC O O O O O O O O O B-LOC E-LOC O O O O S-LOC O O O O O O S-LOC O O O O O O O O O
But the day was not without its seeded casualties on the women 's side .	O O O O O O O O O O O O O O O
Vitesse Arnhem 1 ( Vierklau 85th ) Sparta Rotterdam 1 ( Gerard	B-ORG E-ORG O O S-PER O O B-ORG E-ORG O O S-PER
for , against , points ) :	O O O O O O O
Colombia police find marijuana on ship .	S-LOC O O O O O O
69 Jose Coceres ( Argentina ) , Raymond Russell , Robert Allenby	O B-PER E-PER O S-LOC O O B-PER E-PER O B-PER E-PER
Women 's 5,000 metres	O O O O
U.S. Treasury balances at Federal Reserve based on Treasury Department 's latest budget statement .	B-ORG E-ORG O O B-ORG E-ORG O O B-ORG E-ORG O O O O O
Martinez ( 11-7 ) , who lasted just 1-1/3 innings in his last start against San Diego five days ago , pitched eight-plus innings , walking four and striking out 10 .	S-PER O O O O O O O O O O O O O O B-LOC E-LOC O O O O O O O O O O O O O O O
However , many critics complained its plot was incomprehensible .	O O O O O O O O O O
The newspaper said Weizman scheduled the meeting at his private residence in the central Israeli village of Caesarea after Arafat sent him an emotional appeal " to save the peace process " .	O O O S-PER O O O O O O O O O O S-MISC O O S-LOC O S-PER O O O O O O O O O O O O O
Portsmouth 1 Southend 0	S-ORG O S-ORG O
Halftime 1-0 .	O O O
" It 's a win that I can be proud of , " said the 30-year-old Swede , winner of two U.S. Opens and six Grand Slam titles in all . "	O O O O O O O O O O O O O O O O S-MISC O O O O S-LOC O O O B-MISC E-MISC O O O O O
On Wednesday , the union demanded the resignation of the factory manager .	O O O O O O O O O O O O O
Mar.97 INT PAY 5 .	O O O O O
MELBOURNE 1996-08-25	S-LOC O
( Switzerland ) 0	O S-LOC O O
Two dead in Cambodia helicopter crash .	O O O S-LOC O O O
Two Nicaraguan former guerrillas have been arrested in the case .	O S-MISC O O O O O O O O O
Ajax Amsterdam 1 AZ Alkmaar 0	B-ORG E-ORG O B-ORG E-ORG O
Leading scores after	O O O
Domingos redeemed himself by netting the equaliser just into extra time .	S-PER O O O O O O O O O O O
AMSTERDAM 1996-08-22	S-LOC O
Proj .	O O
" Over the medium term , yes , " he told Reuters after addressing industrialists in the capital .	O O O O O O O O O O O S-ORG O O O O O O O
